x	y	label
0	24	python
1	26	python
2	27	python
3	26	python
4	26	python
5	26	python
6	24	python
7	24	python
8	25	python
9	26	python
10	27	python
11	25	python
12	25	python
13	27	python
14	27	python
15	26	python
16	27	python
17	26	python
18	26	python
19	26	python
20	26	python
21	26	python
22	27	python
23	25	python
24	25	python
25	26	python
26	28	python
27	27	python
28	27	python
29	26	python
30	26	python
31	26	python
32	28	python
33	29	python
34	29	python
35	26	python
36	29	python
37	30	python
38	30	python
39	31	python
40	30	python
41	30	python
42	30	python
43	30	python
44	31	python
45	33	python
46	34	python
47	31	python
48	31	python
49	34	python
50	34	python
51	34	python
52	33	python
53	32	python
54	32	python
55	30	python
56	35	python
57	37	python
58	36	python
59	32	python
60	33	python
61	38	python
62	38	python
63	39	python
64	37	python
65	38	python
66	38	python
67	36	python
68	41	python
69	42	python
70	41	python
71	38	python
72	43	python
73	49	python
74	49	python
75	48	python
76	47	python
77	49	python
78	45	python
79	45	python
80	51	python
81	55	python
82	58	python
83	51	python
84	55	python
85	62	python
86	68	python
87	63	python
88	62	python
89	62	python
90	59	python
91	63	python
92	68	python
93	72	python
94	73	python
95	64	python
96	66	python
97	75	python
98	76	python
99	73	python
100	74	python
101	74	python
102	73	python
103	73	python
104	76	python
105	83	python
106	83	python
107	69	python
108	76	python
109	84	python
110	85	python
111	84	python
112	82	python
113	84	python
114	88	python
115	83	python
116	95	python
117	97	python
118	97	python
119	82	python
120	87	python
121	97	python
122	92	python
123	100	python
124	94	python
125	96	python
126	93	python
127	91	python
128	93	python
129	78	python
130	73	python
131	72	python
132	71	python
133	76	python
134	84	python
135	82	python
136	77	python
137	79	python
138	77	python
139	72	python
140	85	python
141	88	python
142	95	python
143	88	python
0	13	r
1	13	r
2	14	r
3	14	r
4	14	r
5	13	r
6	14	r
7	14	r
8	15	r
9	16	r
10	16	r
11	16	r
12	16	r
13	17	r
14	17	r
15	18	r
16	17	r
17	18	r
18	17	r
19	18	r
20	19	r
21	20	r
22	20	r
23	19	r
24	20	r
25	21	r
26	21	r
27	22	r
28	21	r
29	22	r
30	20	r
31	20	r
32	21	r
33	23	r
34	20	r
35	20	r
36	21	r
37	22	r
38	21	r
39	22	r
40	21	r
41	20	r
42	21	r
43	20	r
44	21	r
45	22	r
46	21	r
47	21	r
48	22	r
49	21	r
50	22	r
51	22	r
52	22	r
53	22	r
54	21	r
55	21	r
56	21	r
57	22	r
58	22	r
59	21	r
60	21	r
61	23	r
62	23	r
63	23	r
64	21	r
65	21	r
66	21	r
67	20	r
68	22	r
69	22	r
70	21	r
71	20	r
72	20	r
73	23	r
74	22	r
75	22	r
76	22	r
77	21	r
78	20	r
79	20	r
80	21	r
81	22	r
82	23	r
83	20	r
84	20	r
85	23	r
86	24	r
87	23	r
88	23	r
89	21	r
90	19	r
91	19	r
92	21	r
93	23	r
94	23	r
95	21	r
96	21	r
97	23	r
98	23	r
99	24	r
100	24	r
101	22	r
102	21	r
103	21	r
104	22	r
105	23	r
106	22	r
107	19	r
108	20	r
109	23	r
110	22	r
111	22	r
112	21	r
113	20	r
114	20	r
115	18	r
116	21	r
117	21	r
118	20	r
119	17	r
120	18	r
121	20	r
122	19	r
123	20	r
124	19	r
125	19	r
126	18	r
127	17	r
128	19	r
129	18	r
130	17	r
131	15	r
132	15	r
133	16	r
134	17	r
135	17	r
136	16	r
137	16	r
138	14	r
139	14	r
140	18	r
141	19	r
142	19	r
143	18	r
0	1	julia
1	1	julia
2	1	julia
3	1	julia
4	1	julia
5	1	julia
6	1	julia
7	1	julia
8	1	julia
9	1	julia
10	1	julia
11	1	julia
12	1	julia
13	1	julia
14	1	julia
15	1	julia
16	1	julia
17	1	julia
18	1	julia
19	1	julia
20	1	julia
21	1	julia
22	1	julia
23	1	julia
24	3	julia
25	5	julia
26	5	julia
27	5	julia
28	6	julia
29	2	julia
30	1	julia
31	1	julia
32	4	julia
33	6	julia
34	6	julia
35	4	julia
36	1	julia
37	1	julia
38	1	julia
39	1	julia
40	1	julia
41	1	julia
42	1	julia
43	1	julia
44	1	julia
45	1	julia
46	1	julia
47	1	julia
48	1	julia
49	1	julia
50	1	julia
51	1	julia
52	1	julia
53	1	julia
54	1	julia
55	1	julia
56	1	julia
57	1	julia
58	1	julia
59	1	julia
60	1	julia
61	1	julia
62	1	julia
63	1	julia
64	1	julia
65	1	julia
66	1	julia
67	1	julia
68	1	julia
69	1	julia
70	1	julia
71	1	julia
72	1	julia
73	1	julia
74	1	julia
75	1	julia
76	1	julia
77	1	julia
78	1	julia
79	1	julia
80	1	julia
81	1	julia
82	1	julia
83	1	julia
84	1	julia
85	1	julia
86	1	julia
87	1	julia
88	1	julia
89	1	julia
90	1	julia
91	1	julia
92	1	julia
93	1	julia
94	1	julia
95	1	julia
96	1	julia
97	1	julia
98	1	julia
99	1	julia
100	1	julia
101	1	julia
102	1	julia
103	1	julia
104	1	julia
105	1	julia
106	1	julia
107	1	julia
108	1	julia
109	1	julia
110	1	julia
111	1	julia
112	1	julia
113	1	julia
114	1	julia
115	1	julia
116	1	julia
117	1	julia
118	1	julia
119	1	julia
120	1	julia
121	1	julia
122	1	julia
123	1	julia
124	1	julia
125	1	julia
126	1	julia
127	1	julia
128	1	julia
129	1	julia
130	1	julia
131	1	julia
132	1	julia
133	1	julia
134	1	julia
135	1	julia
136	1	julia
137	1	julia
138	1	julia
139	1	julia
140	1	julia
141	1	julia
142	1	julia
143	1	julia
